fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_millerc,results_turnerh,results_write_ins,results_absentee_millerc,results_absentee_turnerh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
54005,Boone,8361,0,26,26,Other,100,8360,100%,100% reported,edison,10,unknown,2061,5898,2462,1,0,0,0,2021-01-28T14:47:19Z,41.09556,R+41,Miller +41,republican,millerc,WV-G-H-3-2020-11-03,wv-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",226668,22224,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,605,605,100% reporting,100%,100,226525,edison,100%,100% reported,edison,republican,FALSE,2021-01-28T14:48:34Z,TRUE,42.64298,96658,R+43,Miller +43,republican,TRUE,"","",6,0,1604458747970,FALSE
54011,Cabell,36274,0,71,71,None,100,36269,100%,100% reported,edison,10,unknown,13914,21744,14525,5,0,0,0,2021-01-28T14:47:24Z,19.90131,R+20,Miller +20,republican,millerc,WV-G-H-3-2020-11-03,wv-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",226668,22224,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,605,605,100% reporting,100%,100,226525,edison,100%,100% reported,edison,republican,FALSE,2021-01-28T14:48:34Z,TRUE,42.64298,96658,R+43,Miller +43,republican,TRUE,"","",6,0,1604458747970,FALSE
54019,Fayette,15925,0,37,37,Merged into voters' home precincts and released with cumulative results,100,15920,100%,100% reported,edison,10,unknown,4426,10574,5346,5,0,0,0,2021-01-28T14:47:31Z,32.82889,R+33,Miller +33,republican,millerc,WV-G-H-3-2020-11-03,wv-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",226668,22224,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,605,605,100% reporting,100%,100,226525,edison,100%,100% reported,edison,republican,FALSE,2021-01-28T14:48:34Z,TRUE,42.64298,96658,R+43,Miller +43,republican,TRUE,"","",6,0,1604458747970,FALSE
54025,Greenbrier,15325,0,29,29,Other,100,15323,100%,100% reported,edison,10,all,5698,10642,4681,2,0,0,0,2021-01-28T14:47:38Z,38.89723,R+39,Miller +39,republican,millerc,WV-G-H-3-2020-11-03,wv-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",226668,22224,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,605,605,100% reporting,100%,100,226525,edison,100%,100% reported,edison,republican,FALSE,2021-01-28T14:48:34Z,TRUE,42.64298,96658,R+43,Miller +43,republican,TRUE,"","",6,0,1604458747970,FALSE
54043,Lincoln,7316,0,16,16,Other,100,7303,100%,100% reported,edison,10,unknown,2981,5274,2029,13,0,0,0,2021-01-28T14:47:46Z,44.35484,R+44,Miller +44,republican,millerc,WV-G-H-3-2020-11-03,wv-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",226668,22224,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,605,605,100% reporting,100%,100,226525,edison,100%,100% reported,edison,republican,FALSE,2021-01-28T14:48:34Z,TRUE,42.64298,96658,R+43,Miller +43,republican,TRUE,"","",6,0,1604458747970,FALSE
54045,Logan,11244,0,36,36,None,100,11244,100%,100% reported,edison,10,unknown,3142,8601,2643,0,0,0,0,2021-01-28T14:22:53Z,52.98826,R+53,Miller +53,republican,millerc,WV-G-H-3-2020-11-03,wv-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",226668,22224,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,605,605,100% reporting,100%,100,226525,edison,100%,100% reported,edison,republican,FALSE,2021-01-28T14:48:34Z,TRUE,42.64298,96658,R+43,Miller +43,republican,TRUE,"","",6,0,1604458747970,FALSE
54053,Mason,10661,0,30,30,Released as a separate subtotal as first report of the night,100,10655,100%,100% reported,edison,10,all,4762,7745,2910,6,0,0,0,2021-01-28T14:47:53Z,45.35222,R+45,Miller +45,republican,millerc,WV-G-H-3-2020-11-03,wv-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",226668,22224,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,605,605,100% reporting,100%,100,226525,edison,100%,100% reported,edison,republican,FALSE,2021-01-28T14:48:34Z,TRUE,42.64298,96658,R+43,Miller +43,republican,TRUE,"","",6,0,1604458747970,FALSE
54047,McDowell,5691,0,37,37,None,100,5691,100%,100% reported,edison,10,unknown,1014,4315,1376,0,0,0,0,2021-01-28T14:23:35Z,51.64295,R+52,Miller +52,republican,millerc,WV-G-H-3-2020-11-03,wv-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",226668,22224,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,605,605,100% reporting,100%,100,226525,edison,100%,100% reported,edison,republican,FALSE,2021-01-28T14:48:34Z,TRUE,42.64298,96658,R+43,Miller +43,republican,TRUE,"","",6,0,1604458747970,FALSE
54055,Mercer,24125,0,47,47,Merged into voters' home precincts and released with cumulative results,100,24113,100%,100% reported,edison,10,unknown,10426,18561,5552,12,0,0,0,2021-01-28T14:47:58Z,53.92332,R+54,Miller +54,republican,millerc,WV-G-H-3-2020-11-03,wv-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",226668,22224,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,605,605,100% reporting,100%,100,226525,edison,100%,100% reported,edison,republican,FALSE,2021-01-28T14:48:34Z,TRUE,42.64298,96658,R+43,Miller +43,republican,TRUE,"","",6,0,1604458747970,FALSE
54059,Mingo,8861,0,38,38,Other,100,8861,100%,100% reported,edison,10,unknown,1698,7064,1797,0,0,0,0,2021-01-28T14:38:11Z,59.44024,R+59,Miller +59,republican,millerc,WV-G-H-3-2020-11-03,wv-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",226668,22224,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,605,605,100% reporting,100%,100,226525,edison,100%,100% reported,edison,republican,FALSE,2021-01-28T14:48:34Z,TRUE,42.64298,96658,R+43,Miller +43,republican,TRUE,"","",6,0,1604458747970,FALSE
